Global depth : 5
00000 : [Local depth:5]<e32><e64><e96><e128><e160><e192><e224><e256>
00001 : [Local depth:1]
00010 : [Local depth:5]<e2><e34><e66><e98><e130><e162><e194><e226>
00011 : [Local depth:1]
00100 : [Local depth:5]<e4><e36><e68><e100><e132><e164><e196><e228>
00101 : [Local depth:1]
00110 : [Local depth:5]<e6><e38><e70><e102><e134><e166><e198><e230>
00111 : [Local depth:1]
01000 : [Local depth:5]<e8><e40><e72><e104><e136><e168><e200><e232>
01001 : [Local depth:1]
01010 : [Local depth:5]<e10><e42><e74><e106><e138><e170><e202><e234>
01011 : [Local depth:1]
01100 : [Local depth:5]<e12><e44><e76><e108><e140><e172><e204><e236>
01101 : [Local depth:1]
01110 : [Local depth:5]<e14><e46><e78><e110><e142><e174><e206><e238>
01111 : [Local depth:1]
10000 : [Local depth:5]<e16><e48><e80><e112><e144><e176><e208><e240>
10001 : [Local depth:1]
10010 : [Local depth:5]<e18><e50><e82><e114><e146><e178><e210><e242>
10011 : [Local depth:1]
10100 : [Local depth:5]<e20><e52><e84><e116><e148><e180><e212><e244>
10101 : [Local depth:1]
10110 : [Local depth:5]<e22><e54><e86><e118><e150><e182><e214><e246>
10111 : [Local depth:1]
11000 : [Local depth:5]<e24><e56><e88><e120><e152><e184><e216><e248>
11001 : [Local depth:1]
11010 : [Local depth:5]<e26><e58><e90><e122><e154><e186><e218><e250>
11011 : [Local depth:1]
11100 : [Local depth:5]<e28><e60><e92><e124><e156><e188><e220><e252>
11101 : [Local depth:1]
11110 : [Local depth:5]<e30><e62><e94><e126><e158><e190><e222><e254>
11111 : [Local depth:1]
