Global depth : 6
000000 : [Local depth:6]<e64>
000001 : [Local depth:1]<e19>
000010 : [Local depth:2]
000011 : [Local depth:1]<e19>
000100 : [Local depth:3]
000101 : [Local depth:1]<e19>
000110 : [Local depth:2]
000111 : [Local depth:1]<e19>
001000 : [Local depth:4]
001001 : [Local depth:1]<e19>
001010 : [Local depth:2]
001011 : [Local depth:1]<e19>
001100 : [Local depth:3]
001101 : [Local depth:1]<e19>
001110 : [Local depth:2]
001111 : [Local depth:1]<e19>
010000 : [Local depth:5]
010001 : [Local depth:1]<e19>
010010 : [Local depth:2]
010011 : [Local depth:1]<e19>
010100 : [Local depth:3]
010101 : [Local depth:1]<e19>
010110 : [Local depth:2]
010111 : [Local depth:1]<e19>
011000 : [Local depth:4]
011001 : [Local depth:1]<e19>
011010 : [Local depth:2]
011011 : [Local depth:1]<e19>
011100 : [Local depth:3]
011101 : [Local depth:1]<e19>
011110 : [Local depth:2]
011111 : [Local depth:1]<e19>
100000 : [Local depth:6]
100001 : [Local depth:1]<e19>
100010 : [Local depth:2]
100011 : [Local depth:1]<e19>
100100 : [Local depth:3]
100101 : [Local depth:1]<e19>
100110 : [Local depth:2]
100111 : [Local depth:1]<e19>
101000 : [Local depth:4]
101001 : [Local depth:1]<e19>
101010 : [Local depth:2]
101011 : [Local depth:1]<e19>
101100 : [Local depth:3]
101101 : [Local depth:1]<e19>
101110 : [Local depth:2]
101111 : [Local depth:1]<e19>
110000 : [Local depth:5]
110001 : [Local depth:1]<e19>
110010 : [Local depth:2]
110011 : [Local depth:1]<e19>
110100 : [Local depth:3]
110101 : [Local depth:1]<e19>
110110 : [Local depth:2]
110111 : [Local depth:1]<e19>
111000 : [Local depth:4]
111001 : [Local depth:1]<e19>
111010 : [Local depth:2]
111011 : [Local depth:1]<e19>
111100 : [Local depth:3]
111101 : [Local depth:1]<e19>
111110 : [Local depth:2]
111111 : [Local depth:1]<e19>
Global depth : 1
0 : [Local depth:1]
1 : [Local depth:1]<e19>
